design,order,po_index,po_gate_id,po_name,bdd_size,status,png,report,dot,log,dofile
mult_8,dfs,4,484,p[4],183,ok,results/mult_8/dfs/mult_8_dfs_po04_p_4.png,results/mult_8/dfs/mult_8_dfs_po04_p_4.bdd.txt,results/mult_8/dfs/mult_8_dfs_po04_p_4.dot,results/mult_8/dfs/mult_8_dfs_po04_p_4.log,results/mult_8/dfs/mult_8_dfs_po04_p_4.do
mult_8,dfs,5,485,p[5],511,ok,results/mult_8/dfs/mult_8_dfs_po05_p_5.png,results/mult_8/dfs/mult_8_dfs_po05_p_5.bdd.txt,results/mult_8/dfs/mult_8_dfs_po05_p_5.dot,results/mult_8/dfs/mult_8_dfs_po05_p_5.log,results/mult_8/dfs/mult_8_dfs_po05_p_5.do
mult_8,dfs,6,486,p[6],1523,ok,results/mult_8/dfs/mult_8_dfs_po06_p_6.png,results/mult_8/dfs/mult_8_dfs_po06_p_6.bdd.txt,results/mult_8/dfs/mult_8_dfs_po06_p_6.dot,results/mult_8/dfs/mult_8_dfs_po06_p_6.log,results/mult_8/dfs/mult_8_dfs_po06_p_6.do
mult_8,dfs,7,487,p[7],4647,ok,results/mult_8/dfs/mult_8_dfs_po07_p_7.png,results/mult_8/dfs/mult_8_dfs_po07_p_7.bdd.txt,results/mult_8/dfs/mult_8_dfs_po07_p_7.dot,results/mult_8/dfs/mult_8_dfs_po07_p_7.log,results/mult_8/dfs/mult_8_dfs_po07_p_7.do
mult_8,dfs,8,488,p[8],3976,ok,results/mult_8/dfs/mult_8_dfs_po08_p_8.png,results/mult_8/dfs/mult_8_dfs_po08_p_8.bdd.txt,results/mult_8/dfs/mult_8_dfs_po08_p_8.dot,results/mult_8/dfs/mult_8_dfs_po08_p_8.log,results/mult_8/dfs/mult_8_dfs_po08_p_8.do
mult_8,dfs,9,489,p[9],3077,ok,results/mult_8/dfs/mult_8_dfs_po09_p_9.png,results/mult_8/dfs/mult_8_dfs_po09_p_9.bdd.txt,results/mult_8/dfs/mult_8_dfs_po09_p_9.dot,results/mult_8/dfs/mult_8_dfs_po09_p_9.log,results/mult_8/dfs/mult_8_dfs_po09_p_9.do
mult_8,dfs,10,490,p[10],2193,ok,results/mult_8/dfs/mult_8_dfs_po10_p_10.png,results/mult_8/dfs/mult_8_dfs_po10_p_10.bdd.txt,results/mult_8/dfs/mult_8_dfs_po10_p_10.dot,results/mult_8/dfs/mult_8_dfs_po10_p_10.log,results/mult_8/dfs/mult_8_dfs_po10_p_10.do
mult_8,dfs,11,491,p[11],1458,ok,results/mult_8/dfs/mult_8_dfs_po11_p_11.png,results/mult_8/dfs/mult_8_dfs_po11_p_11.bdd.txt,results/mult_8/dfs/mult_8_dfs_po11_p_11.dot,results/mult_8/dfs/mult_8_dfs_po11_p_11.log,results/mult_8/dfs/mult_8_dfs_po11_p_11.do
mult_8,dfs,12,492,p[12],1058,ok,results/mult_8/dfs/mult_8_dfs_po12_p_12.png,results/mult_8/dfs/mult_8_dfs_po12_p_12.bdd.txt,results/mult_8/dfs/mult_8_dfs_po12_p_12.dot,results/mult_8/dfs/mult_8_dfs_po12_p_12.log,results/mult_8/dfs/mult_8_dfs_po12_p_12.do
mult_8,dfs,13,493,p[13],655,ok,results/mult_8/dfs/mult_8_dfs_po13_p_13.png,results/mult_8/dfs/mult_8_dfs_po13_p_13.bdd.txt,results/mult_8/dfs/mult_8_dfs_po13_p_13.dot,results/mult_8/dfs/mult_8_dfs_po13_p_13.log,results/mult_8/dfs/mult_8_dfs_po13_p_13.do
